Date,Waste_Type,Temperature,Moisture_Content,pH_Level,Oxygen_Level,Carbon_Nitrogen_Ratio,Nitrogen_Content,Potassium_Content,Phosphorus_Content,Ambient_Humidity,Ambient_Temperature,Waste_Height,Particle_Size,Bulk_Density,Odor_Level,Decomposition_Rate,Time_Elapsed,Maturity_Index,Turning_Frequency
2024-04-29,MIXED,65.0,48.11,6.81,13.78,29.2,1.81,1.41,0.4,60.16,30.24,115.28,17.46,307.59,3.24,2.66,69.84,7.51,4.88
2024-04-30,BROWN,60.29,58.75,6.75,10.5,26.27,1.5,0.64,0.41,66.76,20.79,92.73,15.18,434.15,2.73,2.68,68.43,7.37,4.27
2024-05-01,GREEN,54.57,50.61,7.59,6.78,27.22,1.75,1.39,0.48,53.4,29.74,111.3,29.31,386.77,3.34,2.23,51.14,7.09,5.03
2024-05-02,BROWN,65.0,53.04,7.05,5.0,26.03,1.86,0.61,0.4,57.31,35.0,102.23,33.56,570.74,1.38,1.18,46.44,7.71,6.69
2024-05-03,GREEN,65.0,57.38,6.81,9.67,26.59,1.8,1.41,0.39,55.31,34.39,112.52,39.95,520.44,4.15,1.62,35.69,7.42,3.57
2024-05-04,BROWN,65.0,48.63,7.85,13.78,26.38,1.74,0.85,0.31,48.28,35.0,129.27,23.06,548.08,5.0,1.58,35.41,7.41,5.23
2024-05-05,GREEN,65.0,57.35,6.64,13.15,26.14,1.66,1.34,0.76,61.74,24.57,125.83,7.59,615.35,1.25,2.51,81.28,7.49,4.86
2024-05-06,GREEN,65.0,49.79,6.74,11.8,28.21,1.9,0.61,0.31,70.0,35.0,142.46,47.27,384.72,2.94,1.57,42.05,8.0,6.31
2024-05-07,MIXED,65.0,48.27,8.0,7.21,25.81,1.72,0.77,0.39,66.95,28.76,102.21,30.96,371.81,1.18,1.99,39.37,7.37,3.0
2024-05-08,GREEN,65.0,59.47,7.06,9.92,25.86,1.67,0.59,0.77,70.0,35.0,90.0,24.57,589.61,4.74,2.3,31.79,7.67,3.44
2024-05-09,GREEN,58.08,60.0,7.46,13.06,27.81,1.88,0.59,0.83,70.0,35.0,94.84,12.76,459.42,2.29,1.21,81.28,7.98,4.27
2024-05-10,BROWN,59.72,54.7,7.3,9.87,28.59,1.73,1.42,0.48,70.0,19.67,96.37,31.16,528.65,3.68,2.62,64.66,7.97,4.7
2024-05-11,BROWN,65.0,58.51,6.71,7.27,27.58,1.86,1.5,0.61,58.02,34.39,92.56,5.0,415.06,4.42,2.17,75.54,7.79,5.49
2024-05-12,GREEN,64.15,60.0,7.63,5.0,27.72,1.5,0.64,0.39,49.61,35.0,135.47,16.01,585.6,4.37,1.55,77.33,7.16,3.24
2024-05-13,MIXED,63.79,58.78,6.75,11.19,25.68,1.95,1.4,0.35,45.94,20.16,141.21,31.68,488.66,3.98,1.53,67.93,7.62,4.77
2024-05-14,GREEN,55.28,47.32,8.0,14.0,28.96,1.79,1.5,0.85,60.81,35.0,118.35,14.74,552.89,1.31,2.73,54.58,7.3,3.57
2024-05-15,MIXED,65.0,56.96,7.15,5.23,26.35,1.76,1.44,1.0,55.41,19.39,103.89,38.17,570.79,1.0,2.91,89.71,7.12,3.09
2024-05-16,MIXED,63.87,58.23,6.85,13.59,29.12,1.55,0.75,0.83,70.0,20.19,134.21,12.21,300.0,1.12,1.17,48.69,7.1,6.7
2024-05-17,MIXED,60.71,60.0,6.97,10.0,28.44,1.84,0.73,0.89,46.59,33.98,134.61,41.12,324.62,1.83,1.49,38.91,7.46,3.55
2024-05-18,MIXED,65.0,56.39,7.61,8.66,27.66,1.66,0.63,0.67,62.76,30.89,122.16,13.79,611.02,1.6,1.0,76.85,7.71,5.59
2024-05-19,BROWN,59.13,60.0,6.91,8.78,25.04,1.88,0.5,0.73,70.0,20.03,136.74,47.81,563.4,4.92,1.47,83.24,7.53,6.41
2024-05-20,MIXED,65.0,59.16,6.9,6.21,26.98,1.57,0.7,0.59,70.0,34.19,134.1,14.11,522.92,4.38,2.41,55.52,7.73,3.11
2024-05-21,BROWN,65.0,52.21,6.62,5.57,28.1,1.84,1.15,0.56,55.35,27.4,103.23,45.06,550.08,5.0,1.26,86.57,7.23,4.28
2024-05-22,GREEN,65.0,54.09,7.42,12.48,25.31,1.66,1.18,0.6,47.63,31.57,119.42,8.2,555.78,4.63,1.0,63.77,7.8,4.76
2024-05-23,BROWN,65.0,46.2,7.61,7.98,26.13,1.56,0.57,0.3,64.73,33.35,123.6,50.0,643.39,3.91,1.21,46.73,7.04,5.03
2024-05-24,BROWN,62.19,46.34,7.12,10.28,28.15,1.57,0.71,0.61,61.02,26.47,107.55,41.47,406.95,3.21,1.57,90.0,7.42,6.69
2024-05-25,GREEN,65.0,60.0,7.88,15.0,26.86,1.92,1.18,1.0,59.71,19.64,92.65,42.43,434.13,1.63,2.39,37.97,7.5,4.48
2024-05-26,BROWN,65.0,56.23,6.99,7.16,27.75,1.81,1.16,0.86,65.29,35.0,117.67,13.04,462.44,4.04,2.85,83.68,7.23,4.95
2024-05-27,BROWN,60.93,60.0,6.76,5.0,26.91,1.57,1.23,0.77,68.33,20.31,113.46,12.9,543.15,2.03,1.08,39.67,7.67,7.0
2024-05-28,BROWN,65.0,56.09,7.35,5.34,29.5,1.88,1.32,0.8,54.63,31.11,96.65,39.43,545.62,4.96,2.19,47.29,8.0,3.17
2024-05-29,MIXED,65.0,54.81,6.95,13.1,26.3,1.6,0.99,1.0,43.27,35.0,131.7,45.22,499.45,1.49,2.82,71.01,7.14,3.52
2024-05-30,MIXED,65.0,56.45,6.56,12.51,26.27,1.5,1.14,0.89,49.42,33.77,98.36,35.2,476.58,2.41,2.93,48.87,7.8,6.13
2024-05-31,MIXED,65.0,56.07,7.16,13.5,27.35,2.0,0.74,0.69,70.0,29.15,128.95,32.15,356.62,1.95,2.9,62.42,7.15,4.25
2024-06-01,BROWN,65.0,41.48,6.83,12.88,28.28,1.84,0.74,0.79,40.0,35.0,105.62,10.74,481.16,4.33,2.77,56.7,7.7,4.94
2024-06-02,GREEN,65.0,40.16,6.74,12.07,29.13,1.63,1.2,0.96,40.0,35.0,97.98,48.38,599.92,3.43,2.96,61.71,7.66,6.78
2024-06-03,BROWN,65.0,40.0,7.09,9.3,25.68,1.89,1.07,0.5,51.0,32.87,98.91,10.04,499.25,3.77,1.87,72.84,7.84,4.49
2024-06-04,GREEN,65.0,45.52,7.81,12.51,26.56,1.94,0.62,0.39,40.97,28.58,115.9,45.43,564.68,2.8,2.66,76.37,7.39,3.6
2024-06-05,MIXED,65.0,40.0,7.34,9.65,27.47,1.61,0.7,0.66,40.0,35.0,140.75,9.09,650.0,1.31,2.15,83.65,7.36,4.26
2024-06-06,MIXED,65.0,45.07,7.45,14.93,26.06,1.54,1.23,0.62,47.57,35.0,99.0,29.11,521.53,2.22,1.29,83.11,7.75,3.63
2024-06-07,BROWN,65.0,46.52,7.2,7.31,27.83,1.79,0.86,0.36,48.62,34.63,117.18,6.82,578.79,3.57,2.8,35.08,7.98,5.92
2024-06-08,GREEN,65.0,40.0,6.84,5.08,28.8,1.51,0.76,0.48,49.0,35.0,113.47,9.62,435.26,3.29,2.0,45.2,7.1,6.92
2024-06-09,MIXED,65.0,45.3,7.89,11.22,26.46,1.71,0.5,0.67,43.54,25.54,127.98,44.32,390.9,2.47,2.38,49.61,7.36,3.14
2024-06-10,GREEN,65.0,40.0,6.82,11.18,28.18,1.68,0.6,0.33,55.3,35.0,93.38,21.27,321.34,1.16,2.73,62.46,7.94,3.92
2024-06-11,MIXED,65.0,40.0,7.77,13.53,28.0,1.98,0.77,0.5,40.0,31.45,127.2,33.11,389.61,1.05,1.71,44.13,7.67,5.46
2024-06-12,GREEN,65.0,41.38,7.08,11.27,26.46,1.97,1.13,0.42,40.0,31.07,139.31,44.12,518.78,2.37,2.12,34.72,7.9,5.01
2024-06-13,MIXED,65.0,40.0,7.7,5.8,26.9,1.94,1.12,0.9,40.0,32.35,118.73,32.39,582.25,4.22,2.54,38.6,7.11,5.69
2024-06-14,BROWN,65.0,40.0,7.16,5.0,27.75,1.89,0.61,0.87,41.43,35.0,133.92,21.56,457.07,3.88,2.09,30.0,7.6,3.97
2024-06-15,GREEN,65.0,40.0,7.18,9.95,29.73,1.95,1.5,0.76,54.9,35.0,142.23,16.6,530.98,2.78,2.68,70.49,7.69,4.67
2024-06-16,BROWN,65.0,40.0,6.6,9.47,26.2,1.63,1.35,0.55,40.0,35.0,96.46,32.5,519.78,3.78,2.5,79.28,7.24,6.15
2024-06-17,GREEN,65.0,40.0,7.04,12.59,26.05,1.88,0.84,1.0,40.0,33.25,137.95,26.49,625.88,1.79,2.32,71.43,7.26,3.7
2024-06-18,MIXED,65.0,40.0,7.64,14.05,26.08,1.97,1.02,0.72,53.14,34.78,100.95,11.61,572.27,1.0,1.96,62.13,7.23,4.16
2024-06-19,GREEN,65.0,40.0,7.39,9.76,28.62,1.83,0.95,0.55,44.02,35.0,101.06,20.67,511.03,2.16,2.08,43.33,7.79,5.11
2024-06-20,MIXED,65.0,40.35,7.72,12.09,27.69,1.83,0.95,0.58,46.43,35.0,103.96,13.05,538.19,1.0,1.75,90.0,7.64,5.83
2024-06-21,BROWN,65.0,48.39,7.12,11.41,27.91,1.82,0.9,0.32,40.0,35.0,120.69,15.23,496.06,4.75,2.71,83.17,7.96,3.33
2024-06-22,MIXED,65.0,40.0,7.15,12.52,29.71,1.55,0.87,0.43,48.36,35.0,108.02,50.0,412.87,3.91,2.42,48.21,7.99,5.92
2024-06-23,GREEN,65.0,40.0,7.54,9.24,26.68,1.74,1.5,0.34,51.54,35.0,109.95,10.97,445.65,4.62,1.24,40.99,7.31,5.65
2024-06-24,GREEN,65.0,40.0,6.72,12.48,27.47,1.9,0.67,0.97,40.0,35.0,138.96,25.72,521.88,3.55,1.0,84.89,7.33,5.48
2024-06-25,GREEN,65.0,40.0,6.58,13.13,26.39,1.83,1.3,0.43,44.02,34.27,134.7,22.59,619.29,1.95,1.55,41.0,7.87,3.27
2024-06-26,BROWN,65.0,40.0,6.86,5.11,26.2,1.94,1.38,0.83,40.0,25.13,145.73,39.27,484.71,3.73,1.12,85.17,7.39,4.87
2024-06-27,GREEN,65.0,40.0,6.84,8.55,29.34,1.66,0.6,0.98,40.0,35.0,126.27,28.21,345.26,2.58,1.07,45.35,7.23,5.43
2024-06-28,BROWN,65.0,40.93,6.71,9.47,27.21,1.75,1.15,0.67,49.23,35.0,93.7,30.8,424.97,1.0,2.5,42.73,7.22,5.56
2024-06-29,GREEN,65.0,45.35,7.77,10.9,25.54,1.75,0.88,0.82,44.54,35.0,107.09,40.57,641.82,1.13,2.1,31.07,7.82,3.84
2024-06-30,GREEN,65.0,46.59,7.72,11.91,29.14,1.68,1.13,0.34,42.77,35.0,145.48,32.89,650.0,2.33,1.28,47.41,7.23,6.26
2024-07-01,GREEN,65.0,40.0,7.26,8.01,28.64,1.89,1.01,0.82,40.0,35.0,99.67,35.33,337.04,2.36,2.89,42.09,7.85,6.64
2024-07-02,MIXED,65.0,44.04,6.89,10.66,28.38,1.51,0.86,0.89,47.34,35.0,100.84,30.13,492.31,1.87,1.85,35.79,7.67,5.11
2024-07-03,MIXED,65.0,46.85,7.55,11.82,26.52,1.87,0.69,0.39,46.57,35.0,119.42,18.67,452.44,3.6,1.47,64.68,7.41,4.31
2024-07-04,BROWN,65.0,41.98,6.81,10.39,28.83,1.57,1.21,0.81,49.06,35.0,117.95,29.0,590.55,3.55,2.25,64.59,7.97,5.28
2024-07-05,GREEN,65.0,47.88,7.15,14.63,28.27,1.97,0.79,0.57,46.27,35.0,146.92,44.12,534.09,2.52,1.8,48.61,7.84,3.0
2024-07-06,BROWN,65.0,41.96,7.96,14.16,26.25,1.91,1.37,0.89,44.95,35.0,129.89,24.7,507.72,1.0,2.22,47.43,7.45,4.18
2024-07-07,BROWN,65.0,42.35,6.71,12.15,26.74,1.74,0.67,0.61,40.0,26.37,93.96,42.56,582.29,2.62,1.0,35.21,7.05,5.87
2024-07-08,MIXED,65.0,42.95,7.54,5.13,26.77,1.74,0.85,0.8,43.75,29.89,96.18,39.66,343.41,3.18,2.55,41.14,7.63,6.67
2024-07-09,BROWN,65.0,45.16,6.99,15.0,28.6,1.81,0.77,0.74,40.0,23.85,149.77,25.72,414.89,2.32,1.81,36.06,7.17,6.66
2024-07-10,GREEN,65.0,40.0,6.74,8.31,26.93,1.65,1.08,0.75,44.91,31.51,142.81,13.38,501.39,1.12,1.16,56.67,7.55,3.06
2024-07-11,BROWN,65.0,44.34,6.72,13.83,25.34,1.91,0.73,0.61,44.79,35.0,111.2,23.56,300.0,1.96,1.94,68.73,7.24,4.12
2024-07-12,GREEN,65.0,40.0,7.53,5.34,28.3,1.85,0.88,0.32,45.71,28.88,108.26,22.75,300.0,3.27,2.69,75.09,7.16,6.69
2024-07-13,BROWN,65.0,43.57,6.73,9.69,26.26,1.75,0.78,1.0,40.07,28.84,101.84,5.49,347.81,3.06,2.0,40.04,7.82,3.79
2024-07-14,MIXED,65.0,45.62,6.5,11.91,25.0,1.6,0.9,0.66,51.05,35.0,105.55,31.38,480.14,3.44,3.0,85.07,7.11,3.32
2024-07-15,MIXED,65.0,41.57,6.82,6.84,25.13,1.89,0.69,0.52,40.0,31.57,106.13,15.39,472.67,3.43,3.0,85.45,7.53,5.36
2024-07-16,GREEN,65.0,40.0,6.55,5.88,28.91,1.94,0.66,0.71,40.0,35.0,101.35,17.68,400.78,1.16,1.89,54.09,7.27,5.7
2024-07-17,GREEN,65.0,40.0,6.57,5.39,25.35,1.59,1.29,0.82,50.02,22.57,117.19,46.56,494.25,2.19,1.76,59.52,7.86,5.78
2024-07-18,MIXED,65.0,46.35,7.82,8.07,29.66,1.65,1.36,0.97,40.0,26.06,118.22,39.1,482.43,1.66,1.72,59.91,7.88,6.54
2024-07-19,BROWN,65.0,40.0,7.46,12.77,25.11,1.94,0.91,0.78,48.57,32.56,104.71,39.33,357.97,3.82,2.61,67.09,7.28,6.12
2024-07-20,BROWN,65.0,45.16,7.31,9.76,28.41,1.54,1.22,0.86,52.38,34.69,92.16,8.56,460.59,3.94,1.9,49.55,7.82,5.45
2024-07-21,MIXED,65.0,40.0,8.0,10.9,28.65,1.7,1.37,0.41,43.32,35.0,110.11,5.0,570.17,3.56,2.33,77.42,7.38,4.7
2024-07-22,MIXED,65.0,40.0,7.67,6.17,28.43,1.88,0.7,0.54,47.09,21.36,111.42,29.13,574.06,1.94,2.16,60.49,7.15,5.65
2024-07-23,GREEN,65.0,42.33,7.09,8.7,25.76,1.96,0.74,0.85,52.39,27.57,116.48,5.02,362.92,1.55,1.27,79.31,7.6,7.0
2024-07-24,GREEN,65.0,40.0,6.89,6.86,28.61,1.67,0.59,0.41,48.43,35.0,116.6,14.97,373.0,3.9,1.14,77.79,7.86,3.24
2024-07-25,MIXED,65.0,43.32,7.25,6.16,25.32,1.7,1.13,0.37,40.0,30.9,91.86,29.14,400.32,2.21,2.66,71.89,7.67,4.77
2024-07-26,BROWN,65.0,40.77,6.62,13.65,26.67,1.68,0.64,0.74,51.29,35.0,106.14,37.1,546.2,1.9,2.51,81.21,7.57,5.76
2024-07-27,BROWN,65.0,40.0,7.79,9.72,28.49,1.5,0.76,0.88,52.98,34.57,144.1,26.23,300.0,2.29,2.58,38.13,7.05,6.05
2024-07-28,MIXED,65.0,40.0,7.43,11.86,26.91,1.52,0.99,0.63,40.0,24.95,114.87,46.67,395.87,4.44,2.53,31.52,7.52,4.0
2024-07-29,MIXED,65.0,40.0,6.87,14.66,28.95,1.88,0.93,0.35,55.19,35.0,92.32,40.06,491.79,4.9,1.44,43.09,7.97,6.43
2024-07-30,GREEN,65.0,40.0,6.93,7.45,29.83,1.62,0.94,0.96,48.68,35.0,129.13,49.33,520.43,3.01,1.57,60.23,7.44,4.13
2024-07-31,MIXED,65.0,40.0,7.24,6.14,29.94,1.82,0.58,0.6,47.58,35.0,122.03,49.77,466.97,1.28,1.32,82.71,7.08,5.31
2024-08-01,BROWN,65.0,40.31,6.74,9.54,27.64,1.87,1.5,0.4,54.01,32.71,99.57,5.0,583.28,1.83,2.78,90.0,7.86,6.13
2024-08-02,BROWN,65.0,44.6,7.02,12.89,25.93,1.83,1.28,0.66,53.51,35.0,147.19,26.96,364.91,3.4,1.3,36.02,7.49,3.39
2024-08-03,MIXED,65.0,40.0,7.43,11.45,27.48,1.63,0.59,0.49,40.0,35.0,143.62,47.42,570.12,1.95,1.0,41.54,7.75,3.62
2024-08-04,MIXED,65.0,43.35,6.54,9.81,29.05,1.57,0.7,0.36,41.82,35.0,135.24,35.82,515.86,4.76,2.78,66.78,7.2,5.37
2024-08-05,MIXED,65.0,44.61,6.61,7.29,29.6,1.98,0.81,0.9,40.0,34.9,132.79,29.03,581.48,3.88,2.16,43.3,7.46,3.94
2024-08-06,GREEN,65.0,40.0,7.21,5.93,28.09,1.67,0.88,0.74,49.4,35.0,102.12,30.34,516.98,2.95,2.25,88.85,7.71,4.8
2024-08-07,MIXED,65.0,40.0,7.17,5.32,28.41,1.67,0.89,0.76,40.0,35.0,110.69,14.92,477.93,3.1,1.53,69.39,7.95,6.52
2024-08-08,MIXED,65.0,41.05,6.6,9.81,25.57,1.97,0.5,0.84,47.3,35.0,141.67,35.28,581.21,4.49,2.38,80.67,7.79,6.29
2024-08-09,MIXED,65.0,46.72,7.2,6.04,29.81,1.68,0.66,0.75,40.0,35.0,105.7,46.22,618.58,3.42,1.93,87.02,7.84,3.15
2024-08-10,BROWN,65.0,40.0,7.1,6.7,28.15,1.9,0.69,0.88,49.62,35.0,103.04,33.63,306.56,3.03,2.4,43.46,7.3,6.94
2024-08-11,GREEN,65.0,45.32,7.27,12.86,25.99,1.62,1.27,0.81,51.23,24.33,90.0,5.0,647.6,4.19,2.45,46.23,7.66,3.03
2024-08-12,MIXED,65.0,40.0,7.23,5.08,26.08,1.85,1.28,0.71,41.92,26.35,97.92,35.18,495.66,4.28,1.89,90.0,7.75,3.0
2024-08-13,BROWN,65.0,41.15,7.14,5.34,26.54,2.0,1.02,0.76,50.06,35.0,150.0,16.99,342.3,4.31,2.04,39.93,7.45,3.41
2024-08-14,GREEN,65.0,40.0,6.76,7.65,29.46,1.75,1.46,0.96,40.0,35.0,115.64,46.35,555.38,3.36,1.0,37.74,7.57,7.0
